game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
BAL Ravens @ MIA Dolphins,BAL Ravens,MIA Dolphins,-7.5,-112,51.5,-110,BAL Ravens: -440 / MIA Dolphins: +340,2025-10-29T16:20:05.771097
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-110,48.5,-105,MIN Vikings: +390 / DET Lions: -520,2025-10-29T16:20:05.771097
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-8.5,-115,43.5,-108,LA Chargers: -500 / TEN Titans: +380,2025-10-29T16:20:05.771097
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-3,-115,50.5,-110,IND Colts: -166 / PIT Steelers: +140,2025-10-29T16:20:05.771097
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,5.5,-110,44.5,-120,ATL Falcons: +215 / NE Patriots: -265,2025-10-29T16:20:05.771097
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,13.5,-115,44.5,-102,CAR Panthers: +675 / GB Packers: -1050,2025-10-29T16:20:05.771097
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,1.5,-108,39.5,-115,DEN Broncos: +110 / HOU Texans: -130,2025-10-29T16:20:05.771097
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-3,-105,51.5,-108,CHI Bears: -155 / CIN Bengals: +130,2025-10-29T16:20:05.771097
SF 49ers @ NY Giants,SF 49ers,NY Giants,-2.5,-120,48.5,-105,SF 49ers: -155 / NY Giants: +130,2025-10-29T16:20:05.771097
NO Saints @ LA Rams,NO Saints,LA Rams,14,-115,43.5,-110,NO Saints: +600 / LA Rams: -900,2025-10-29T16:20:05.771097
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,-118,44.5,-110,JAX Jaguars: -166 / LV Raiders: +140,2025-10-29T16:20:05.771097
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-2.5,-105,52.5,-108,KC Chiefs: -130 / BUF Bills: +110,2025-10-29T16:20:05.771097
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-115,47.5,-105,SEA Seahawks: -170 / WAS Commanders: +142,2025-10-29T16:20:05.771097
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,2.5,-102,54.5,-110,ARI Cardinals: +124 / DAL Cowboys: -148,2025-10-29T16:20:05.771097
LV Raiders @ DEN Broncos,LV Raiders,DEN Broncos,10.5,-110,42.5,-110,LV Raiders: +440 / DEN Broncos: -600,2025-10-29T16:20:05.771097
ATL Falcons @ IND Colts,ATL Falcons,IND Colts,6.5,+100,48.5,-110,ATL Falcons: +270 / IND Colts: -340,2025-10-29T16:20:05.771097
CLE Browns @ NY Jets,CLE Browns,NY Jets,1.5,-110,38.5,-110,CLE Browns: +105 / NY Jets: -125,2025-10-29T16:20:05.771097
NE Patriots @ TB Buccaneers,NE Patriots,TB Buccaneers,2.5,-105,48.5,-110,NE Patriots: +120 / TB Buccaneers: -142,2025-10-29T16:20:05.771097
BUF Bills @ MIA Dolphins,BUF Bills,MIA Dolphins,-8.5,-110,50.5,-110,BUF Bills: -410 / MIA Dolphins: +320,2025-10-29T16:20:05.771097
BAL Ravens @ MIN Vikings,BAL Ravens,MIN Vikings,-3.5,-105,47.5,-110,BAL Ravens: -185 / MIN Vikings: +154,2025-10-29T16:20:05.771097
NY Giants @ CHI Bears,NY Giants,CHI Bears,3,-105,47.5,-110,NY Giants: +142 / CHI Bears: -170,2025-10-29T16:20:05.771097
JAX Jaguars @ HOU Texans,JAX Jaguars,HOU Texans,3,-105,42.5,-110,JAX Jaguars: +140 / HOU Texans: -166,2025-10-29T16:20:05.771097
NO Saints @ CAR Panthers,NO Saints,CAR Panthers,3.5,-110,42.5,-110,NO Saints: +154 / CAR Panthers: -185,2025-10-29T16:20:05.771097
ARI Cardinals @ SEA Seahawks,ARI Cardinals,SEA Seahawks,6.5,-110,45.5,-110,ARI Cardinals: +225 / SEA Seahawks: -278,2025-10-29T16:20:05.771097
DET Lions @ WAS Commanders,DET Lions,WAS Commanders,-3,-115,51.5,-110,DET Lions: -170 / WAS Commanders: +142,2025-10-29T16:20:05.771097
LA Rams @ SF 49ers,LA Rams,SF 49ers,-3,-110,48.5,-110,LA Rams: -162 / SF 49ers: +136,2025-10-29T16:20:05.771097
PIT Steelers @ LA Chargers,PIT Steelers,LA Chargers,4.5,-110,46.5,-110,PIT Steelers: +180 / LA Chargers: -218,2025-10-29T16:20:05.771097
PHI Eagles @ GB Packers,PHI Eagles,GB Packers,3,-105,45.5,-110,PHI Eagles: +142 / GB Packers: -170,2025-10-29T16:20:05.771097
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-105,48.5,-108,MIN Vikings: +380 / DET Lions: -500,2025-11-01T18:14:28.489582
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-9.5,-112,43.5,-118,LA Chargers: -550 / TEN Titans: +410,2025-11-01T18:14:28.489582
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-3.5,-108,50.5,-120,IND Colts: -185 / PIT Steelers: +154,2025-11-01T18:14:28.489582
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,12.5,-102,43.5,-118,CAR Panthers: +625 / GB Packers: -950,2025-11-01T18:14:28.489582
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,4.5,-110,45.5,-108,ATL Falcons: +195 / NE Patriots: -238,2025-11-01T18:14:28.489582
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,1.5,-110,39.5,-115,DEN Broncos: +102 / HOU Texans: -122,2025-11-01T18:14:28.489582
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-2.5,-118,51.5,-110,CHI Bears: -148 / CIN Bengals: +124,2025-11-01T18:14:28.489582
SF 49ers @ NY Giants,SF 49ers,NY Giants,-2.5,-115,48.5,+100,SF 49ers: -142 / NY Giants: +120,2025-11-01T18:14:28.489582
NO Saints @ LA Rams,NO Saints,LA Rams,14,-105,43.5,-108,NO Saints: +700 / LA Rams: -1100,2025-11-01T18:14:28.489582
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,+100,43.5,-115,JAX Jaguars: -155 / LV Raiders: +130,2025-11-01T18:14:28.489582
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-1.5,-115,52.5,-112,KC Chiefs: -130 / BUF Bills: +110,2025-11-01T18:14:28.489582
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-105,48.5,-105,SEA Seahawks: -155 / WAS Commanders: +130,2025-11-01T18:14:28.489582
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,3,-102,54.5,-110,ARI Cardinals: +142 / DAL Cowboys: -170,2025-11-01T18:14:28.489582
LV Raiders @ DEN Broncos,LV Raiders,DEN Broncos,10.5,-110,42.5,-110,LV Raiders: +425 / DEN Broncos: -575,2025-11-01T18:14:28.489582
ATL Falcons @ IND Colts,ATL Falcons,IND Colts,6.5,+100,48.5,-110,ATL Falcons: +270 / IND Colts: -340,2025-11-01T18:14:28.489582
NE Patriots @ TB Buccaneers,NE Patriots,TB Buccaneers,2.5,-105,48.5,-110,NE Patriots: +124 / TB Buccaneers: -148,2025-11-01T18:14:28.489582
CLE Browns @ NY Jets,CLE Browns,NY Jets,1.5,-110,38.5,-110,CLE Browns: +105 / NY Jets: -125,2025-11-01T18:14:28.489582
BUF Bills @ MIA Dolphins,BUF Bills,MIA Dolphins,-8.5,-110,50.5,-110,BUF Bills: -410 / MIA Dolphins: +320,2025-11-01T18:14:28.489582
BAL Ravens @ MIN Vikings,BAL Ravens,MIN Vikings,-4.5,-105,47.5,-110,BAL Ravens: -218 / MIN Vikings: +180,2025-11-01T18:14:28.489582
JAX Jaguars @ HOU Texans,JAX Jaguars,HOU Texans,3,-105,41.5,-110,JAX Jaguars: +140 / HOU Texans: -166,2025-11-01T18:14:28.489582
NO Saints @ CAR Panthers,NO Saints,CAR Panthers,3.5,-110,41.5,-110,NO Saints: +150 / CAR Panthers: -180,2025-11-01T18:14:28.489582
NY Giants @ CHI Bears,NY Giants,CHI Bears,3,-105,47.5,-110,NY Giants: +140 / CHI Bears: -166,2025-11-01T18:14:28.489582
ARI Cardinals @ SEA Seahawks,ARI Cardinals,SEA Seahawks,6.5,-110,45.5,-110,ARI Cardinals: +225 / SEA Seahawks: -278,2025-11-01T18:14:28.489582
DET Lions @ WAS Commanders,DET Lions,WAS Commanders,-3,-115,51.5,-110,DET Lions: -170 / WAS Commanders: +142,2025-11-01T18:14:28.489582
LA Rams @ SF 49ers,LA Rams,SF 49ers,-3,-110,48.5,-110,LA Rams: -162 / SF 49ers: +136,2025-11-01T18:14:28.489582
PIT Steelers @ LA Chargers,PIT Steelers,LA Chargers,4.5,-110,46.5,-110,PIT Steelers: +170 / LA Chargers: -205,2025-11-01T18:14:28.489582
PHI Eagles @ GB Packers,PHI Eagles,GB Packers,3,-105,45.5,-110,PHI Eagles: +140 / GB Packers: -166,2025-11-01T18:14:28.489582
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-105,48.5,-108,MIN Vikings: +380 / DET Lions: -500,2025-11-01T18:22:18.852417
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-9.5,-112,43.5,-118,LA Chargers: -550 / TEN Titans: +410,2025-11-01T18:22:18.852417
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-3.5,-108,50.5,-120,IND Colts: -185 / PIT Steelers: +154,2025-11-01T18:22:18.852417
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,12.5,-102,43.5,-118,CAR Panthers: +625 / GB Packers: -950,2025-11-01T18:22:18.852417
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,4.5,-110,45.5,-108,ATL Falcons: +195 / NE Patriots: -238,2025-11-01T18:22:18.852417
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,1.5,-110,40.5,-102,DEN Broncos: +102 / HOU Texans: -122,2025-11-01T18:22:18.852417
