game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
LA Rams @ JAX Jaguars,LA Rams,JAX Jaguars,-3,-115,44.5,-115,LA Rams: -166 / JAX Jaguars: +140,2025-10-18T18:10:19.440481
NE Patriots @ TEN Titans,NE Patriots,TEN Titans,-7,-110,42.5,-105,NE Patriots: -355 / TEN Titans: +280,2025-10-18T18:10:19.440481
MIA Dolphins @ CLE Browns,MIA Dolphins,CLE Browns,2.5,-105,35.5,-110,MIA Dolphins: +120 / CLE Browns: -142,2025-10-18T18:10:19.440481
LV Raiders @ KC Chiefs,LV Raiders,KC Chiefs,11.5,-108,45.5,-110,LV Raiders: +550 / KC Chiefs: -800,2025-10-18T18:10:19.440481
PHI Eagles @ MIN Vikings,PHI Eagles,MIN Vikings,-1.5,-112,43.5,-115,PHI Eagles: -130 / MIN Vikings: +110,2025-10-18T18:10:19.440481
NO Saints @ CHI Bears,NO Saints,CHI Bears,3.5,-105,45.5,-105,NO Saints: +180 / CHI Bears: -218,2025-10-18T18:10:19.440481
CAR Panthers @ NY Jets,CAR Panthers,NY Jets,-1.5,-102,41.5,-102,CAR Panthers: -118 / NY Jets: -102,2025-10-18T18:10:19.440481
NY Giants @ DEN Broncos,NY Giants,DEN Broncos,7,+100,40.5,-115,NY Giants: +295 / DEN Broncos: -375,2025-10-18T18:10:19.440481
IND Colts @ LA Chargers,IND Colts,LA Chargers,2.5,-115,48.5,-110,IND Colts: +105 / LA Chargers: -125,2025-10-18T18:10:19.440481
GB Packers @ ARI Cardinals,GB Packers,ARI Cardinals,-7,-112,44.5,-108,GB Packers: -360 / ARI Cardinals: +285,2025-10-18T18:10:19.440481
WAS Commanders @ DAL Cowboys,WAS Commanders,DAL Cowboys,1.5,-112,54.5,-105,WAS Commanders: +105 / DAL Cowboys: -125,2025-10-18T18:10:19.440481
ATL Falcons @ SF 49ers,ATL Falcons,SF 49ers,2.5,-115,47.5,+100,ATL Falcons: +114 / SF 49ers: -135,2025-10-18T18:10:19.440481
TB Buccaneers @ DET Lions,TB Buccaneers,DET Lions,6,-112,52.5,-115,TB Buccaneers: +230 / DET Lions: -285,2025-10-18T18:10:19.440481
HOU Texans @ SEA Seahawks,HOU Texans,SEA Seahawks,3,-110,41.5,-105,HOU Texans: +140 / SEA Seahawks: -166,2025-10-18T18:10:19.440481
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,-110,42.5,-110,MIN Vikings: +136 / LA Chargers: -162,2025-10-18T18:10:19.440481
